OBJECT_NAME_1,OBJECT_NAME_2,MAX_PROB,OperationalStatus_1,OperationalStatus_2
"STARLINK-3801 [+]","HAWK-6C [+]",0.00006413,+],+]
"ICEYE-X5 [+]","STARLINK-1848 [+]",0.00006412,+],+]
"M2 PATHFINDER [+]","STARLINK-3057 [+]",0.00006389,+],+]
"STARLINK-4483 [+]","NEXTSAT-2 [+]",0.00006369,+],+]
"ION SCV-010 [+]","STARLINK-30113 [+]",0.00006366,+],+]
"STARLINK-4679 [+]","SITRO-AIS 12 (SMIRENNIY) [+]",0.00006356,+],+]
"KSM1-A [+]","STARLINK-2053 [+]",0.00006351,+],+]
"STARLINK-4593 [+]","TROPICS-07 [+]",0.00006344,+],+]
"RANGE-B [+]","STARLINK-5077 [+]",0.00006334,+],+]
"STARLINK-5268 [+]","HAWK-6A [+]",0.00006317,+],+]
